id,year,market,title,authors_institution,method,data_or_sample,key_contribution,gap_relevance,url
PE_HOUS_001,2018,housing,"Índice de precios de inmuebles: un enfoque hedónico","Mundaca & Sánchez - BCRP","hedonic regressions","departamentos Lima Metropolitana","Índice hedónico; cocheras y baños entre atributos de mayor valoración","No mide respuesta de demanda a cambios de pricing","https://investigacion.bcrp.gob.pe/es/investigaciones/revista-estudios-economicos/n%C2%B0-36/ree-36-03"
PE_HOUS_002,2014,housing,"Precios de viviendas en Lima","Fabrizio Orrego - BCRP","equilibrium relationship + bootstrap","Lima 1998Q1-2013Q4","Relaciona precio/m2 con fundamentos macro y evalúa desalineamiento","Agregado; abre espacio macro→micro","https://investigacion.bcrp.gob.pe/es/investigaciones/documentos-de-trabajo/2014/dt-2014-008"
PE_HOUS_003,2015,housing,"Evaluando las dinámicas de precios en el sector inmobiliario","Diego Vílchez - PUCP","time-series/econometric","Lima","Explica rápido crecimiento de precios residenciales","No unidad×tiempo ni decisión de pricing","https://alicia.concytec.gob.pe/vufind/Record/PUCP_a28ebdece0292c7c83df29c529a8f110"
PE_HOUS_004,2018,housing,"Determinantes del precio por metro cuadrado 2005-2017","Rivera Romero - Universidad de Lima","time-series econometrics","Lima, trimestral 2005-2017","Crédito, tasas y costos de construcción como determinantes","Antecedente directo para no repetir macro agregado","https://alicia.concytec.gob.pe/vufind/Record/RULI_09a8c7ff2ea09e3ffce5c7241dfb1999"
PE_HOUS_005,2017,housing,"Índice de precios de viviendas nuevas para Lima mediante precios hedónicos","Mayo Urtecho - UNI","hedonic index","Fondo MIVIVIENDA 2001-2015","Índice ajustado por calidad para vivienda nueva","Gap en dinámica de venta/stock","https://alicia.concytec.gob.pe/vufind/Record/UUNI_b82ddbe2c3c166340ae947e915bec3d5"
PE_HOUS_006,2018,housing,"Valoración de viviendas por atributos en Lima Metropolitana","García Arroyo - Universidad de Lima","hedonic + simulation","Lima","Valora atributos y capacidad de pago","No estudia elasticidad de absorción","https://alicia.concytec.gob.pe/vufind/Record/RULI_339af52820cb23ec96df0dc0ac24ab87"
PE_HOUS_007,2019,housing,"Determinantes que influyen en precios de departamentos Lima y Callao 2004-2017","Aranda Villalobos - URP","hedonic","Lima/Callao","Atributos estructurales y de entorno","Saturación del enfoque de determinantes","https://alicia.concytec.gob.pe/vufind/Record/URPU_ea7d1a68c194671bcb35eb354c0e62aa"
PE_HOUS_008,2023,housing_transport,"Land Value Impacts of Metro Line 1 in San Borja and Surquillo","Vidal Matos - SeoulTech / RENATI","cross-sectional hedonic","339 propiedades, 3 estaciones, 2023","Relaciona distancia a Metro con precios","Mejorar con DiD/event-study e historia","https://alicia.concytec.gob.pe/vufind/Record/RENATI_c6fe7bf479fc63ad2d30b8beba7c796d"
PE_HOUS_009,2024,housing,"Predicción de la velocidad de ventas de un proyecto inmobiliario utilizando VARMA","Herrera Chavez - UNALM","VARMA","710 departamentos, 15 proyectos ASEI","Forecast de sales velocity","No identifica efecto causal del precio","https://repositorio.lamolina.edu.pe/items/8b4627d5-c3ac-47d3-9921-6032667eaa73"
PE_HOUS_010,2025,housing,"Uso de Machine Learning para predicción de precios de departamentos en Lima","Barrientos et al. - ESAN","OLS, tree, XGBoost","40k+ obs BCRP 2014-2024","XGBoost mejora precisión predictiva","Descarta ML-price-prediction como gap suficiente","https://alicia.concytec.gob.pe/vufind/Record/ESAN_57858d0ecd48c7d085e23f750a28d833"
